date,ticker,price,sma_50,sma_200
2012-02-01,SPY,103.47,98.29,97.43
2012-02-02,SPY,103.63,98.47,97.45
2012-02-03,SPY,105.08,98.72,97.47
2012-02-06,SPY,105.01,98.96,97.48
2012-02-07,SPY,105.28,99.26,97.5
2012-02-08,SPY,105.59,99.57,97.51
2012-02-09,SPY,105.72,99.82,97.52
2012-02-10,SPY,104.94,100.06,97.53
2012-02-13,SPY,105.72,100.23,97.53
2012-02-14,SPY,105.59,100.4,97.54
2012-02-15,SPY,105.1,100.57,97.54
2012-02-16,SPY,106.26,100.73,97.55
2012-02-17,SPY,106.54,100.91,97.56
2012-02-21,SPY,106.59,101.07,97.58
2012-02-22,SPY,106.25,101.27,97.6
2012-02-23,SPY,106.71,101.45,97.61
2012-02-24,SPY,106.95,101.66,97.63
2012-02-27,SPY,107.13,101.89,97.65
2012-02-28,SPY,107.44,102.15,97.66
2012-02-29,SPY,107.02,102.4,97.68
2012-03-01,SPY,107.57,102.65,97.71
2012-03-02,SPY,107.25,102.91,97.73
2012-03-05,SPY,106.81,103.11,97.75
2012-03-06,SPY,105.25,103.28,97.76
2012-03-07,SPY,105.98,103.44,97.78
2012-03-08,SPY,107.03,103.61,97.81
2012-03-09,SPY,107.45,103.78,97.84
2012-03-12,SPY,107.46,103.98,97.87
2012-03-13,SPY,109.39,104.2,97.9
2012-03-14,SPY,109.28,104.42,97.93
2012-03-15,SPY,109.91,104.63,97.97
2012-03-16,SPY,110.06,104.84,98.01
2012-03-19,SPY,110.49,105.05,98.06
2012-03-20,SPY,110.17,105.25,98.11
2012-03-21,SPY,109.99,105.45,98.16
2012-03-22,SPY,109.2,105.62,98.21
2012-03-23,SPY,109.55,105.79,98.27
2012-03-26,SPY,111.09,105.99,98.32
2012-03-27,SPY,110.74,106.19,98.39
2012-03-28,SPY,110.19,106.38,98.45
2012-03-29,SPY,110.01,106.54,98.5
2012-03-30,SPY,110.46,106.69,98.56
2012-04-02,SPY,111.27,106.86,98.63
2012-04-03,SPY,110.81,107.02,98.7
2012-04-04,SPY,109.72,107.16,98.75
2012-04-05,SPY,109.66,107.28,98.8
2012-04-09,SPY,108.43,107.39,98.85
2012-04-10,SPY,106.61,107.46,98.88
2012-04-11,SPY,107.47,107.56,98.93
2012-04-12,SPY,108.88,107.68,98.98
2012-04-13,SPY,107.58,107.77,99.02
2012-04-16,SPY,107.51,107.84,99.05
2012-04-17,SPY,109.1,107.92,99.09
2012-04-18,SPY,108.74,108.0,99.11
2012-04-19,SPY,108.04,108.05,99.14
2012-04-20,SPY,108.22,108.11,99.16
2012-04-23,SPY,107.31,108.14,99.18
2012-04-24,SPY,107.72,108.19,99.2
2012-04-25,SPY,109.19,108.26,99.23
2012-04-26,SPY,109.95,108.35,99.27
2012-04-27,SPY,110.13,108.45,99.32
2012-04-30,SPY,109.72,108.52,99.36
2012-05-01,SPY,110.41,108.6,99.4
2012-05-02,SPY,110.08,108.67,99.45
2012-05-03,SPY,109.24,108.73,99.48
2012-05-04,SPY,107.47,108.74,99.51
2012-05-07,SPY,107.55,108.75,99.53
2012-05-08,SPY,107.12,108.75,99.54
2012-05-09,SPY,106.48,108.74,99.56
2012-05-10,SPY,106.7,108.73,99.58
2012-05-11,SPY,106.38,108.7,99.6
2012-05-14,SPY,105.21,108.66,99.63
2012-05-15,SPY,104.6,108.62,99.65
2012-05-16,SPY,104.2,108.6,99.68
2012-05-17,SPY,102.66,108.53,99.7
2012-05-18,SPY,101.78,108.43,99.73
2012-05-21,SPY,103.53,108.35,99.78
2012-05-22,SPY,103.71,108.27,99.83
2012-05-23,SPY,103.76,108.16,99.92
2012-05-24,SPY,103.97,108.06,99.99
2012-05-25,SPY,103.63,107.93,100.07
2012-05-29,SPY,104.88,107.83,100.14
2012-05-30,SPY,103.36,107.68,100.2
2012-05-31,SPY,103.13,107.54,100.25
2012-06-01,SPY,100.54,107.35,100.29
2012-06-04,SPY,100.49,107.18,100.33
2012-06-05,SPY,101.25,107.01,100.4
2012-06-06,SPY,103.53,106.86,100.48
2012-06-07,SPY,103.59,106.72,100.56
2012-06-08,SPY,104.41,106.6,100.64
2012-06-11,SPY,103.09,106.47,100.7
2012-06-12,SPY,104.27,106.34,100.77
2012-06-13,SPY,103.6,106.19,100.83
2012-06-14,SPY,104.7,106.07,100.89
2012-06-15,SPY,105.77,105.99,100.95
2012-06-18,SPY,105.98,105.91,101.0
2012-06-19,SPY,107.0,105.88,101.07
2012-06-20,SPY,106.83,105.89,101.15
2012-06-21,SPY,104.43,105.83,101.22
2012-06-22,SPY,105.24,105.76,101.28
2012-06-25,SPY,103.55,105.68,101.34
2012-06-26,SPY,104.07,105.61,101.41
2012-06-27,SPY,105.01,105.52,101.49
2012-06-28,SPY,104.71,105.44,101.56
2012-06-29,SPY,107.32,105.43,101.63
2012-07-02,SPY,107.64,105.42,101.7
2012-07-03,SPY,108.35,105.44,101.77
2012-07-05,SPY,107.86,105.44,101.85
2012-07-06,SPY,106.84,105.39,101.91
2012-07-09,SPY,106.7,105.33,101.99
2012-07-10,SPY,105.77,105.24,102.09
2012-07-11,SPY,105.79,105.16,102.17
2012-07-12,SPY,105.28,105.06,102.25
2012-07-13,SPY,107.04,105.0,102.33
2012-07-16,SPY,106.79,104.95,102.42
2012-07-17,SPY,107.52,104.95,102.5
2012-07-18,SPY,108.32,104.97,102.6
2012-07-19,SPY,108.6,105.0,102.72
2012-07-20,SPY,107.61,105.02,102.82
2012-07-23,SPY,106.52,105.02,102.91
2012-07-24,SPY,105.61,105.0,102.99
2012-07-25,SPY,105.63,105.01,103.07
2012-07-26,SPY,107.37,105.06,103.14
2012-07-27,SPY,109.35,105.17,103.22
2012-07-30,SPY,109.35,105.3,103.3
2012-07-31,SPY,108.59,105.44,103.38
2012-08-01,SPY,108.49,105.54,103.44
2012-08-02,SPY,107.75,105.62,103.51
2012-08-03,SPY,109.88,105.74,103.59
2012-08-06,SPY,110.1,105.86,103.67
2012-08-07,SPY,110.65,106.0,103.75
2012-08-08,SPY,110.78,106.12,103.82
2012-08-09,SPY,110.88,106.27,103.89
2012-08-10,SPY,111.06,106.43,103.97
2012-08-13,SPY,111.0,106.64,104.04
2012-08-14,SPY,111.02,106.85,104.1
2012-08-15,SPY,111.14,107.05,104.15
2012-08-16,SPY,111.96,107.22,104.23
2012-08-17,SPY,112.11,107.39,104.31
2012-08-20,SPY,112.12,107.54,104.39
2012-08-21,SPY,111.78,107.71,104.46
2012-08-22,SPY,111.83,107.87,104.53
2012-08-23,SPY,110.92,108.01,104.6
2012-08-24,SPY,111.59,108.15,104.66
2012-08-27,SPY,111.61,108.27,104.74
2012-08-28,SPY,111.5,108.38,104.82
2012-08-29,SPY,111.59,108.47,104.88
2012-08-30,SPY,110.78,108.55,104.95
2012-08-31,SPY,111.31,108.69,105.02
2012-09-04,SPY,111.21,108.8,105.09
2012-09-05,SPY,111.11,108.96,105.17
2012-09-06,SPY,113.37,109.14,105.27
2012-09-07,SPY,113.81,109.32,105.37
2012-09-10,SPY,113.16,109.49,105.47
2012-09-11,SPY,113.48,109.61,105.59
2012-09-12,SPY,113.86,109.73,105.71
2012-09-13,SPY,115.59,109.88,105.82
2012-09-14,SPY,116.1,110.04,105.93
2012-09-17,SPY,115.71,110.22,106.03
2012-09-18,SPY,115.61,110.4,106.12
2012-09-19,SPY,115.68,110.6,106.22
2012-09-20,SPY,115.69,110.8,106.3
2012-09-21,SPY,115.64,111.0,106.39
2012-09-24,SPY,115.46,111.17,106.48
2012-09-25,SPY,114.23,111.32,106.57
2012-09-26,SPY,113.59,111.44,106.65
2012-09-27,SPY,114.66,111.57,106.74
2012-09-28,SPY,114.13,111.68,106.83
2012-10-01,SPY,114.43,111.82,106.93
2012-10-02,SPY,114.55,111.98,107.03
2012-10-03,SPY,115.02,112.16,107.13
2012-10-04,SPY,115.84,112.37,107.24
2012-10-05,SPY,115.85,112.54,107.33
2012-10-08,SPY,115.46,112.66,107.43
2012-10-09,SPY,114.31,112.76,107.51
2012-10-10,SPY,113.58,112.86,107.58
2012-10-11,SPY,113.65,112.96,107.66
2012-10-12,SPY,113.28,113.07,107.74
2012-10-15,SPY,114.22,113.16,107.81
2012-10-16,SPY,115.38,113.27,107.9
2012-10-17,SPY,115.9,113.37,107.98
2012-10-18,SPY,115.6,113.47,108.06
2012-10-19,SPY,113.67,113.52,108.13
2012-10-22,SPY,113.69,113.58,108.2
2012-10-23,SPY,112.11,113.6,108.26
2012-10-24,SPY,111.79,113.61,108.32
2012-10-25,SPY,112.12,113.63,108.37
2012-10-26,SPY,112.05,113.63,108.43
2012-10-31,SPY,112.05,113.63,108.48
2012-11-01,SPY,113.23,113.66,108.54
2012-11-02,SPY,112.22,113.66,108.6
2012-11-05,SPY,112.45,113.68,108.64
2012-11-06,SPY,113.33,113.72,108.7
2012-11-07,SPY,110.76,113.71,108.74
2012-11-08,SPY,109.43,113.66,108.77
2012-11-09,SPY,109.53,113.63,108.8
2012-11-12,SPY,109.61,113.59,108.83
2012-11-13,SPY,109.23,113.55,108.86
2012-11-14,SPY,107.76,113.48,108.89
2012-11-15,SPY,107.58,113.41,108.91
2012-11-16,SPY,108.11,113.35,108.94
2012-11-19,SPY,110.29,113.29,108.97
2012-11-20,SPY,110.34,113.22,109.0
2012-11-21,SPY,110.55,113.17,109.02
2012-11-23,SPY,112.05,113.14,109.06
2012-11-26,SPY,111.82,113.1,109.09
2012-11-27,SPY,111.25,113.01,109.12
2012-11-28,SPY,112.14,112.93,109.15
2012-11-29,SPY,112.66,112.87,109.19
2012-11-30,SPY,112.69,112.81,109.22
2012-12-03,SPY,112.13,112.74,109.26
2012-12-04,SPY,111.97,112.67,109.29
2012-12-05,SPY,112.17,112.6,109.32
2012-12-06,SPY,112.55,112.54,109.34
2012-12-07,SPY,112.89,112.51,109.38
2012-12-10,SPY,112.94,112.5,109.41
2012-12-11,SPY,113.71,112.48,109.44
2012-12-12,SPY,113.77,112.47,109.48
2012-12-13,SPY,113.07,112.45,109.5
2012-12-14,SPY,112.65,112.41,109.53
2012-12-17,SPY,113.97,112.39,109.56
2012-12-18,SPY,115.24,112.38,109.6
